id_transaction,type_transaction,montant,devise,frais,statut,ville,pays
id_transaction_00000001,Dépôt,66.91,MAD,1.0,Complétée,Casablanca,Maroc
id_transaction_00000002,Retrait,10021.5,EUR,6.51,Complétée,Francfort,Allemagne
id_transaction_00000003,Virement International,1179.88,USD,10.77,Complétée,Washington DC,USA
id_transaction_00000004,Dépôt,200.62,CNY,1.39,Complétée,Pékin,Chine
id_transaction_00000005,Virement International,3412.01,USD,60.64,Complétée,New York,USA
id_transaction_00000006,Virement,708.78,MAD,8.08,Rejetée,Casablanca,Maroc
id_transaction_00000007,Prélèvement,87.15,GBP,4.95,Complétée,Londres,Royaume-Uni
id_transaction_00000008,Virement,316.51,MAD,6.63,Complétée,Casablanca,Maroc
id_transaction_00000009,Prélèvement,522.72,EUR,3.27,Complétée,Paris,France
id_transaction_00000010,Carte,56.73,USD,9.65,Complétée,New York,USA
id_transaction_00000011,Virement,966.02,JPY,7.29,Complétée,Tokyo,Japon
id_transaction_00000012,Prélèvement,1527.86,MAD,1.16,Complétée,Rabat,Maroc
id_transaction_00000013,Retrait,309.02,MAD,3.25,Complétée,Casablanca,Maroc
id_transaction_00000014,Virement International,1311.9,EUR,18.58,En attente,Francfort,UE
id_transaction_00000015,Dépôt,3801.5,JPY,4.94,Complétée,Tokyo,Japon
id_transaction_00000016,Prélèvement,670.0,GBP,1.08,Complétée,Londres,Royaume-Uni
id_transaction_00000017,Carte,39.27,MAD,4.1,Complétée,Casablanca,Maroc
id_transaction_00000018,Carte,93.29,EUR,2.9,Complétée,Francfort,Allemagne
id_transaction_00000019,Virement International,4985.22,USD,27.9,Complétée,Washington DC,USA
id_transaction_00000020,Retrait,646.63,EUR,9.07,Complétée,Francfort,Allemagne
id_transaction_00000021,Virement International,200.58,MAD,0.99,Complétée,Rabat,Maroc
id_transaction_00000022,Virement,87.48,GBP,3.38,Complétée,Londres,Royaume-Uni
id_transaction_00000023,Virement,394.17,MAD,2.47,Complétée,Casablanca,Maroc
id_transaction_00000024,Prélèvement,801.21,GBP,0.51,Complétée,Londres,Royaume-Uni
id_transaction_00000025,Prélèvement,1275.31,USD,7.62,En cours,Washington DC,USA
id_transaction_00000026,Carte,10.0,GBP,6.34,Complétée,Londres,Royaume-Uni
id_transaction_00000027,Dépôt,1527.32,EUR,3.49,Complétée,Francfort,UE
id_transaction_00000028,Virement,1000.47,MAD,5.18,Complétée,Casablanca,Maroc
id_transaction_00000029,Retrait,549.21,USD,6.96,Complétée,New York,USA
id_transaction_00000030,Prélèvement,46.28,MAD,5.17,En cours,Casablanca,Maroc
id_transaction_00000031,Virement International,5012.88,GBP,50.99,En attente,Londres,Royaume-Uni
id_transaction_00000032,Dépôt,629.85,MAD,7.85,Rejetée,Rabat,Maroc
id_transaction_00000033,Dépôt,92.01,USD,4.86,Complétée,New York,USA
id_transaction_00000034,Virement,78.19,EUR,0.18,Complétée,Francfort,UE
id_transaction_00000035,Retrait,1481.55,ZAR,3.08,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000036,Dépôt,1698.7,USD,2.5,Complétée,New York,USA
id_transaction_00000037,Prélèvement,3123.31,USD,8.64,Complétée,New York,USA
id_transaction_00000038,Dépôt,2340.32,USD,0.44,Complétée,New York,USA
id_transaction_00000039,Virement,1001.44,CNY,5.72,Rejetée,Pékin,Chine
id_transaction_00000040,Carte,10.0,MAD,8.51,Complétée,Rabat,Maroc
id_transaction_00000041,Virement,72.13,EUR,2.54,Complétée,Francfort,UE
id_transaction_00000042,Virement,3243.49,EUR,1.37,Complétée,Paris,France
id_transaction_00000043,Prélèvement,636.94,USD,9.13,Complétée,New York,USA
id_transaction_00000044,Virement International,3024.84,MAD,80.76,Complétée,Rabat,Maroc
id_transaction_00000045,Prélèvement,66.67,MAD,1.55,Complétée,Casablanca,Maroc
id_transaction_00000046,Virement International,3951.36,GBP,63.67,Complétée,Londres,Royaume-Uni
id_transaction_00000047,Retrait,230.03,CNY,7.0,Complétée,Pékin,Chine
id_transaction_00000048,Carte,10.0,USD,7.15,Rejetée,New York,USA
id_transaction_00000049,Dépôt,126.76,JPY,1.73,Complétée,Tokyo,Japon
id_transaction_00000050,Carte,10.0,USD,9.55,Complétée,New York,USA
id_transaction_00000051,Dépôt,785.04,EUR,4.74,Complétée,Francfort,UE
id_transaction_00000052,Retrait,1289.42,USD,4.34,Complétée,New York,USA
id_transaction_00000053,Prélèvement,2309.41,USD,6.59,Complétée,Washington DC,USA
id_transaction_00000054,Prélèvement,409.67,GBP,5.86,Complétée,Londres,Royaume-Uni
id_transaction_00000055,Retrait,830.33,CNY,6.26,Complétée,Pékin,Chine
id_transaction_00000056,Prélèvement,812.88,MAD,2.74,Complétée,Rabat,Maroc
id_transaction_00000057,Prélèvement,39.82,CNY,6.56,Complétée,Pékin,Chine
id_transaction_00000058,Prélèvement,2154.56,EUR,4.96,Complétée,Paris,France
id_transaction_00000059,Carte,107.02,EUR,5.48,Complétée,Paris,France
id_transaction_00000060,Prélèvement,5074.71,EUR,5.81,Complétée,Francfort,UE
id_transaction_00000061,Carte,21.32,JPY,5.34,Complétée,Tokyo,Japon
id_transaction_00000062,Carte,10.0,USD,3.89,En attente,New York,USA
id_transaction_00000063,Carte,294.51,JPY,2.13,Complétée,Tokyo,Japon
id_transaction_00000064,Virement International,4908.04,EUR,65.01,Complétée,Paris,France
id_transaction_00000065,Retrait,461.79,EUR,8.38,Complétée,Francfort,Allemagne
id_transaction_00000066,Prélèvement,456.73,ZAR,8.92,Complétée,Johannesburg,Afrique du Sud
id_transaction_00000067,Carte,268.01,USD,8.8,Complétée,Washington DC,USA
id_transaction_00000068,Virement,576.07,GBP,3.5,Complétée,Londres,Royaume-Uni
id_transaction_00000069,Prélèvement,37.35,MAD,4.05,Complétée,Casablanca,Maroc
id_transaction_00000070,Virement,214.16,USD,6.81,Complétée,New York,USA
id_transaction_00000071,Virement,447.86,GBP,9.93,Complétée,Londres,Royaume-Uni
id_transaction_00000072,Virement,437.7,EUR,4.55,Complétée,Paris,France
id_transaction_00000073,Virement International,163.09,EUR,0.92,Complétée,Francfort,Allemagne
id_transaction_00000074,Prélèvement,1307.68,USD,3.6,Complétée,New York,USA
id_transaction_00000075,Virement International,820.04,GBP,14.83,Complétée,Londres,Royaume-Uni
id_transaction_00000076,Virement International,121.36,USD,3.42,Complétée,New York,USA
id_transaction_00000077,Prélèvement,253.51,EUR,7.78,Complétée,Paris,France
id_transaction_00000078,Virement,69.77,EUR,7.5,Complétée,Paris,France
id_transaction_00000079,Dépôt,674.31,MAD,7.5,Complétée,Rabat,Maroc
id_transaction_00000080,Carte,960.35,EUR,7.57,Complétée,Francfort,UE
id_transaction_00000081,Virement International,546.19,JPY,3.4,Complétée,Tokyo,Japon
id_transaction_00000082,Retrait,269.78,EUR,9.68,Complétée,Francfort,UE
id_transaction_00000083,Carte,12.84,GBP,1.36,Complétée,Londres,Royaume-Uni
id_transaction_00000084,Prélèvement,28.84,MAD,5.14,Complétée,Casablanca,Maroc
id_transaction_00000085,Carte,53.41,JPY,2.58,Complétée,Tokyo,Japon
id_transaction_00000086,Dépôt,738.54,JPY,0.76,Complétée,Tokyo,Japon
id_transaction_00000087,Virement International,9140.33,USD,112.88,Complétée,New York,USA
id_transaction_00000088,Carte,55.85,JPY,3.48,Complétée,Tokyo,Japon
id_transaction_00000089,Prélèvement,64.86,CNY,0.92,Complétée,Pékin,Chine
id_transaction_00000090,Virement International,292.76,MAD,3.31,Complétée,Casablanca,Maroc
id_transaction_00000091,Virement International,4377.27,MAD,94.62,Complétée,Casablanca,Maroc
id_transaction_00000092,Carte,110.67,EUR,3.54,En attente,Francfort,Allemagne
id_transaction_00000093,Virement,595.79,JPY,8.41,Complétée,Tokyo,Japon
id_transaction_00000094,Retrait,550.06,JPY,6.49,Complétée,Tokyo,Japon
id_transaction_00000095,Virement International,1235.2,EUR,4.73,Complétée,Paris,France
id_transaction_00000096,Dépôt,56.57,USD,6.06,En cours,Washington DC,USA
id_transaction_00000097,Carte,20.57,MAD,1.87,Complétée,Rabat,Maroc
