produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Zara Veste Hiver,Mode,Zara,61.28,Cyber Monday -35%,137,Premium,137
iPhone 15 Pro,Électronique,Apple,1252.24,Aucune,501,Premium,501
Huile d'Olive Bio,Alimentation,Terra Bio,10.91,Aucune,254,Standard,254
AirPods Pro,Électronique,Apple,203.48,Soldes -20%,1245,Budget,1245
Zara Veste Hiver,Mode,Zara,90.96,Aucune,95,Standard,95
PlayStation 5,Électronique,Sony,467.55,Aucune,763,Première Commande,763
H&M T-Shirt,Mode,H&M,20.31,Aucune,291,Budget,291
Yaourt Nature,Alimentation,Danone,2.74,Aucune,51,Standard,51
Samsung Galaxy S24,Électronique,Samsung,918.05,Aucune,748,Premium,748
AirPods Pro,Électronique,Apple,260.43,Aucune,483,Budget,483
Aspirateur Dyson V15,Maison,Dyson,648.19,Aucune,215,Budget,215
PlayStation 5,Électronique,Sony,377.77,Soldes -30%,560,Première Commande,560
Nike Air Max,Mode,Nike,138.78,Aucune,729,Standard,729
Samsung Galaxy S24,Électronique,Samsung,850.08,Aucune,716,Premium,716
Vélo Décathlon,Sport,Décathlon,380.6,Aucune,189,Premium,189
Chocolat Lindt,Alimentation,Lindt,14.26,Aucune,59,Budget,59
AirPods Pro,Électronique,Apple,241.28,Aucune,518,Standard,518
Parfum Chanel N°5,Beauté,Chanel,125.48,Aucune,580,Luxe,580
Nike Air Max,Mode,Nike,145.48,Aucune,332,Standard,332
Adidas Survêtement,Mode,Adidas,77.86,Aucune,135,Première Commande,135
MacBook Air M3,Électronique,Apple,823.08,3 pour 2,733,Luxe,733
Adidas Survêtement,Mode,Adidas,72.74,Aucune,244,Premium,244
Nike Air Max,Mode,Nike,144.73,Aucune,764,Standard,764
MacBook Air M3,Électronique,Apple,1338.48,Aucune,342,Luxe,342
Parfum Chanel N°5,Beauté,Chanel,115.39,Aucune,581,Première Commande,581
H&M T-Shirt,Mode,H&M,19.5,Aucune,173,Standard,173
MacBook Air M3,Électronique,Apple,917.08,3 pour 2,902,Premium,902
MacBook Air M3,Électronique,Apple,996.65,Soldes -30%,684,Luxe,684
Aspirateur Dyson V15,Maison,Dyson,596.71,Aucune,284,Budget,284
Café Arabica,Alimentation,Lavazza,8.33,Aucune,451,Budget,451
PlayStation 5,Électronique,Sony,528.77,Aucune,677,Standard,677
Vélo Décathlon,Sport,Décathlon,396.25,Aucune,57,Luxe,57
AirPods Pro,Électronique,Apple,250.11,Aucune,573,Standard,573
H&M T-Shirt,Mode,H&M,19.86,Aucune,248,Budget,248
AirPods Pro,Électronique,Apple,163.3,Soldes -30%,408,Premium,408
Yaourt Nature,Alimentation,Danone,2.87,Aucune,202,Budget,202
AirPods Pro,Électronique,Apple,230.08,Aucune,256,Premium,256
Lampe Philips Hue,Maison,Philips,62.62,Aucune,589,Luxe,589
Huile d'Olive Bio,Alimentation,Terra Bio,12.3,Aucune,595,Standard,595
Ballon Nike,Sport,Nike,35.53,Aucune,186,Budget,186
Huile d'Olive Bio,Alimentation,Terra Bio,11.3,Aucune,426,Budget,426
Huile d'Olive Bio,Alimentation,Terra Bio,10.86,Aucune,270,Standard,270
PlayStation 5,Électronique,Sony,466.81,Aucune,794,Budget,794
AirPods Pro,Électronique,Apple,235.98,Aucune,342,Standard,342
Yaourt Nature,Alimentation,Danone,3.24,Aucune,72,Standard,72
Vélo Décathlon,Sport,Décathlon,318.75,Soldes -20%,235,Premium,235
Zara Veste Hiver,Mode,Zara,63.59,Cyber Monday -35%,682,Luxe,682
Aspirateur Dyson V15,Maison,Dyson,506.31,Promo Flash -25%,466,Standard,466
Zara Veste Hiver,Mode,Zara,97.65,Aucune,244,Standard,244
Zara Veste Hiver,Mode,Zara,87.83,Aucune,235,Luxe,235
MacBook Air M3,Électronique,Apple,1320.66,Aucune,371,Luxe,371
Yaourt Nature,Alimentation,Danone,2.73,Aucune,68,Standard,68
Adidas Survêtement,Mode,Adidas,70.75,Aucune,146,Première Commande,146
Lampe Philips Hue,Maison,Philips,63.61,Aucune,366,Standard,366
AirPods Pro,Électronique,Apple,272.62,Aucune,521,Budget,521
Aspirateur Dyson V15,Maison,Dyson,593.99,Aucune,548,Luxe,548
AirPods Pro,Électronique,Apple,225.41,Aucune,792,Standard,792
Parfum Chanel N°5,Beauté,Chanel,128.12,Aucune,364,Luxe,364
Nike Air Max,Mode,Nike,151.57,Aucune,654,Standard,654
Yaourt Nature,Alimentation,Danone,3.06,Aucune,139,Standard,139
MacBook Air M3,Électronique,Apple,1304.24,Aucune,536,Premium,536
Canapé IKEA Ektorp,Maison,IKEA,527.41,Aucune,204,Budget,204
Canapé IKEA Ektorp,Maison,IKEA,492.76,Aucune,245,Budget,245
AirPods Pro,Électronique,Apple,263.76,Aucune,661,Budget,661
Café Arabica,Alimentation,Lavazza,8.13,Aucune,476,Standard,476
PlayStation 5,Électronique,Sony,483.6,Aucune,600,Premium,600
Huile d'Olive Bio,Alimentation,Terra Bio,8.98,Soldes -20%,709,Budget,709
Canapé IKEA Ektorp,Maison,IKEA,350.11,Soldes -30%,176,Standard,176
Aspirateur Dyson V15,Maison,Dyson,664.35,Aucune,648,Budget,648
Aspirateur Dyson V15,Maison,Dyson,511.05,Promo Flash -25%,737,Standard,737
